,importance
temp_c,0.3079
ventilation,0.2309
manure,0.1264
co2_ppm,0.0658
humidity_pct,0.0618
feed_volume,0.0473
pig_class_piglet,0.0352
pig_class_growing-pig,0.0342
water_supply,0.028
nh3_ppm,0.0246
floor_material_concrete,0.0082
bbox_area_min,0.0048
area_ratio_std,0.0048
bbox_area_max,0.0046
floor_material_diatomite,0.0037
area_ratio_min,0.0029
pig_class_porker,0.0021
bbox_area_mean,0.0021
bbox_area_std,0.0015
area_ratio_mean,0.0014
pig_class_weaningpig,0.0012
area_ratio_max,0.0005
