,importance
nh3_ppm,0.6469
pig_class_piglet,0.117
temp_c,0.063
ventilation,0.062
manure,0.0331
feed_volume,0.029
co2_ppm,0.0148
water_supply,0.0088
humidity_pct,0.0087
area_ratio_min,0.0036
bbox_area_std,0.0025
area_ratio_mean,0.0024
bbox_area_mean,0.0024
bbox_area_min,0.0017
bbox_area_max,0.0013
area_ratio_std,0.0011
area_ratio_max,0.0007
pig_class_porker,0.0007
pig_class_weaningpig,0.0002
floor_material_concrete,0.0001
pig_class_growing-pig,0.0
floor_material_diatomite,0.0
