,importance
ventilation,0.3904
feed_volume,0.1263
nh3_ppm,0.0846
temp_c,0.0541
bbox_area_max,0.0486
water_supply,0.0413
manure,0.0331
area_ratio_std,0.0313
bbox_area_std,0.0294
co2_ppm,0.0251
humidity_pct,0.0245
area_ratio_mean,0.0208
bbox_area_mean,0.0197
pig_class_piglet,0.0173
area_ratio_max,0.0142
floor_material_diatomite,0.0125
pig_class_growing-pig,0.0082
floor_material_concrete,0.0074
bbox_area_min,0.0065
area_ratio_min,0.0048
pig_class_weaningpig,0.0
pig_class_porker,0.0
