품목,시도,시군구,k2,적정온도,경고임계,위험임계,결실개시년,경제수명년,현재재배면적_ha,현재단수_kg_ha,현재단가_원kg,시나리오,중심연도,생육기기온,편차,판정,저온요구도
밤,전남,영암군,영암,19.7,1.3,2.0,5,30,,,1697.0,ssp585,2058,24.86,5.16,위험,566
밤,전남,영암군,영암,19.7,1.3,2.0,5,30,,,1697.0,ssp585,2068,25.79,6.09,위험,475
밤,전남,영암군,영암,19.7,1.3,2.0,5,30,,,1697.0,ssp585,2078,26.68,6.98,위험,395
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,관측,2005,20.99,1.29,경고,705
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp245,2028,22.97,3.27,위험,535
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp245,2038,23.51,3.81,위험,495
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp245,2048,24.0,4.3,위험,463
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp245,2058,24.49,4.79,위험,430
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp245,2068,24.85,5.15,위험,412
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp245,2078,25.27,5.57,위험,377
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp585,2028,23.17,3.47,위험,535
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp585,2038,23.92,4.22,위험,477
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp585,2048,24.73,5.03,위험,405
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp585,2058,25.62,5.92,위험,343
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp585,2068,26.53,6.83,위험,254
밤,전남,순천시,순천,19.7,1.3,2.0,5,30,397.5,2944.0,2238.0,ssp585,2078,27.41,7.71,위험,178
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,관측,2005,20.09,0.39,경고,1243
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp245,2028,21.86,2.16,위험,1046
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp245,2038,22.34,2.64,위험,992
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp245,2048,22.78,3.08,위험,946
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp245,2058,23.2,3.5,위험,906
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp245,2068,23.5,3.8,위험,873
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp245,2078,23.87,4.17,위험,821
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp585,2028,22.07,2.37,위험,1036
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp585,2038,22.72,3.02,위험,951
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp585,2048,23.44,3.74,위험,858
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp585,2058,24.22,4.52,위험,770
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp585,2068,25.03,5.33,위험,648
밤,전북,완주군,완주,19.7,1.3,2.0,5,30,8.0,1085.0,2500.0,ssp585,2078,25.82,6.12,위험,563
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,관측,2005,21.0,1.3,주의,928
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp245,2028,22.81,3.11,위험,747
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp245,2038,23.3,3.6,위험,698
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp245,2048,23.76,4.06,위험,656
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp245,2058,24.21,4.51,위험,619
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp245,2068,24.54,4.84,위험,590
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp245,2078,24.92,5.22,위험,553
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp585,2028,23.01,3.31,위험,753
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp585,2038,23.68,3.98,위험,676
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp585,2048,24.43,4.73,위험,593
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp585,2058,25.26,5.56,위험,526
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp585,2068,26.11,6.41,위험,444
밤,경남,하동군,하동,19.7,1.3,2.0,5,30,846.5,2006.0,2059.0,ssp585,2078,26.94,7.24,위험,377
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,관측,2005,19.5,-0.2,적합,1231
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp245,2028,21.32,1.62,주의,1034
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp245,2038,21.81,2.11,위험,982
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp245,2048,22.27,2.57,위험,937
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp245,2058,22.71,3.01,위험,898
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp245,2068,23.03,3.33,위험,868
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp245,2078,23.4,3.7,위험,819
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp585,2028,21.55,1.85,주의,1028
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp585,2038,22.21,2.51,위험,947
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp585,2048,22.96,3.26,위험,860
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp585,2058,23.78,4.08,위험,775
